ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0033865,nucleoside bisphosphate metabolic process,13/323,78/12416,9.463314120960438e-8,2.1400653438870922e-5,2.0185907903391428e-5,Dlat/Pdk4/Acaca/Acly/Acot2/Pdhb/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Dgat2/Pdha1,13
GO:0033875,ribonucleoside bisphosphate metabolic process,13/323,78/12416,9.463314120960438e-8,2.1400653438870922e-5,2.0185907903391428e-5,Dlat/Pdk4/Acaca/Acly/Acot2/Pdhb/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Dgat2/Pdha1,13
GO:0034032,purine nucleoside bisphosphate metabolic process,13/323,78/12416,9.463314120960438e-8,2.1400653438870922e-5,2.0185907903391428e-5,Dlat/Pdk4/Acaca/Acly/Acot2/Pdhb/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Dgat2/Pdha1,13
GO:0035384,thioester biosynthetic process,8/323,24/12416,9.840889073668418e-8,2.1400653438870922e-5,2.0185907903391428e-5,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Pdha1,8
GO:0071616,acyl-CoA biosynthetic process,8/323,24/12416,9.840889073668418e-8,2.1400653438870922e-5,2.0185907903391428e-5,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Pdha1,8
GO:0006086,acetyl-CoA biosynthetic process from pyruvate,6/323,11/12416,1.2251077831515165e-7,2.4976884929001543e-5,2.3559145066788703e-5,Dlat/Pdk4/Pdhb/Mpc1/Mpc2/Pdha1,6
GO:0046390,ribose phosphate biosynthetic process,16/323,134/12416,3.84450001559351e-7,7.376917088744724e-5,6.9581879539194e-5,Dlat/Pdk4/Acly/Pygl/Pdhb/Tkt/Mpc1/Mpc2/Acss2/Cmpk1/Ak2/Pdha1/G6pdx/COX2/ATP8/ATP6,16
GO:0072330,monocarboxylic acid biosynthetic process,17/323,153/12416,4.710939718291146e-7,8.53726964503651e-5,8.05267648921931e-5,Abhd3/Lpl/Pdk4/Acaca/Acly/Cd74/Fads3/Fasn/Scd2/Acadl/Gatm/Fabp5/Acss2/Scd1/Elovl3/Elovl6/Insig1,17
GO:0106106,cold-induced thermogenesis,15/323,123/12416,6.778206964849336e-7,1.1055255559669266e-4,1.0427736293818214e-4,Cd36/Lpin1/Vegfa/Acadl/Gatm/Fabp5/Cpt2/Adrb3/Cnot3/Scd1/Elovl3/Elovl6/Lepr/Fabp4/Arrdc3,15
GO:0120161,regulation of cold-induced thermogenesis,15/323,123/12416,6.778206964849336e-7,1.1055255559669266e-4,1.0427736293818214e-4,Cd36/Lpin1/Vegfa/Acadl/Gatm/Fabp5/Cpt2/Adrb3/Cnot3/Scd1/Elovl3/Elovl6/Lepr/Fabp4/Arrdc3,15
GO:0008202,steroid metabolic process,19/323,197/12416,9.072285758183328e-7,1.4092283877711436e-4,1.3292376577027503e-4,Comt/Hsd11b1/Igf1/Ephx2/Cyp2e1/Acadl/Hsd17b12/Pmvk/Spp1/Dgat2/G6pdx/Sc5d/Lss/Dhcr24/Igfbp7/Scd1/Insig1/Lepr/Fdps,19
GO:0001659,temperature homeostasis,16/323,144/12416,1.0281428838860686e-6,1.5244554941983436e-4,1.4379242342578845e-4,Cd36/Lpin1/Vegfa/Acadl/Gatm/Fabp5/Cpt2/Nmu/Adrb3/Cnot3/Scd1/Elovl3/Elovl6/Lepr/Fabp4/Arrdc3,16
GO:0033866,nucleoside bisphosphate biosynthetic process,8/323,33/12416,1.5142096350797794e-6,1.975740731852096e-4,1.8635935845634505e-4,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Pdha1,8
GO:0034030,ribonucleoside bisphosphate biosynthetic process,8/323,33/12416,1.5142096350797794e-6,1.975740731852096e-4,1.8635935845634505e-4,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Pdha1,8
GO:0034033,purine nucleoside bisphosphate biosynthetic process,8/323,33/12416,1.5142096350797794e-6,1.975740731852096e-4,1.8635935845634505e-4,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Pdha1,8
GO:1990845,adaptive thermogenesis,15/323,132/12416,1.6857568582801606e-6,2.114976489119186e-4,1.9949260310740525e-4,Cd36/Lpin1/Vegfa/Acadl/Gatm/Fabp5/Cpt2/Adrb3/Cnot3/Scd1/Elovl3/Elovl6/Lepr/Fabp4/Arrdc3,15
GO:0009259,ribonucleotide metabolic process,22/323,267/12416,1.8339071664888795e-6,2.2156315470691574e-4,2.0898676988877177e-4,Dlat/Pdk4/Igf1/Acaca/Acly/Acot2/Pdhb/Gpd1/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Cmpk1/Ak2/Dgat2/Pdha1/Nudt18/Eno1b/COX2/ATP8/ATP6,22
GO:0006163,purine nucleotide metabolic process,22/323,276/12416,3.168082042071335e-6,3.6908155790131054e-4,3.4813172214189896e-4,Dlat/Pdk4/Igf1/Acaca/Acly/Acot2/Pdhb/Gpd1/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Cmpk1/Ak2/Dgat2/Pdha1/Nudt18/Eno1b/COX2/ATP8/ATP6,22
GO:0009150,purine ribonucleotide metabolic process,21/323,258/12416,3.8336321261351575e-6,4.312175170845822e-4,4.0674071523386806e-4,Dlat/Pdk4/Igf1/Acaca/Acly/Acot2/Pdhb/Gpd1/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Ak2/Dgat2/Pdha1/Nudt18/Eno1b/COX2/ATP8/ATP6,21
GO:0090407,organophosphate biosynthetic process,25/323,351/12416,5.1044980913275925e-6,5.550290924636868e-4,5.235244884544053e-4,Dlat/Pdk4/Acly/Pygl/Pdhb/Tkt/Mpc1/Pcx/Mpc2/Agpat2/Fabp5/Acss2/Pmvk/Cmpk1/Ak2/Rrm1/Pdha1/G6pdx/Idi1/Fdps/Chpt1/Plaat3/COX2/ATP8/ATP6,25
GO:0006641,triglyceride metabolic process,11/323,79/12416,5.8103409977078125e-6,6.113978172426737e-4,5.766936073446498e-4,Cd36/Lpl/Lpin1/Cyp2e1/Pnpla2/Dbi/Dgat2/Thrsp/Scd1/Insig1/Plaat3,11
GO:0044283,small molecule biosynthetic process,30/323,473/12416,6.028201648562496e-6,6.144998055503394e-4,5.796195203535585e-4,Abhd3/Lpl/Pdk4/Acaca/Acly/Gpd1/Cd74/Fads3/Pcx/Rbp4/Fasn/Scd2/Acadl/Gatm/Fabp5/Acss2/Pmvk/Pgd/Dgat2/G6pdx/Sc5d/Lss/Dhcr24/Scd1/Elovl3/Elovl6/Nudt18/Insig1/Lepr/Fdps,30
GO:0009117,nucleotide metabolic process,24/323,333/12416,6.483560953946293e-6,6.408901767203881e-4,6.04511919246731e-4,Dlat/Pdk4/Igf1/Acaca/Acly/Acot2/Pdhb/Gpd1/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Cmpk1/Ak2/Dgat2/Rrm1/Pdha1/G6pdx/Nudt18/Eno1b/COX2/ATP8/ATP6,24
GO:0070542,response to fatty acid,8/323,41/12416,8.692026492544043e-6,8.175368934102894e-4,7.711318014257561e-4,Cd36/Lpl/Pdk4/Acaca/Scd2/Aacs/Dgat2/Scd1,8
GO:0006753,nucleoside phosphate metabolic process,24/323,339/12416,8.771855079509543e-6,8.175368934102894e-4,7.711318014257561e-4,Dlat/Pdk4/Igf1/Acaca/Acly/Acot2/Pdhb/Gpd1/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Cmpk1/Ak2/Dgat2/Rrm1/Pdha1/G6pdx/Nudt18/Eno1b/COX2/ATP8/ATP6,24
GO:0072521,purine-containing compound metabolic process,22/323,303/12416,1.4119737976356133e-5,0.0012794051466353807,0.001206783453359327,Dlat/Pdk4/Igf1/Acaca/Acly/Acot2/Pdhb/Gpd1/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Cmpk1/Ak2/Dgat2/Pdha1/Nudt18/Eno1b/COX2/ATP8/ATP6,22
GO:0006091,generation of precursor metabolites and energy,23/323,328/12416,1.5805635030975875e-5,0.001393458958676846,0.001314363334154836,Dlat/Hsd11b1/Igf1/Mdh1/Pygl/Pdhb/Tkt/Gpd1/Sorbs1/Cox20/Aco1/Pgd/Pdha1/G6pdx/Ppp1r3b/Lepr/Eno1b/ND1/ND2/COX2/ATP6/COX3/CYTB,23
GO:0006790,sulfur compound metabolic process,18/323,225/12416,2.3993696012630633e-5,0.0020596693787684507,0.001942758267172281,Dlat/Comt/Mgst1/Pdk4/Acaca/Acly/Acot2/Pdhb/Mpc1/Fasn/Gsta3/Mpc2/Acss2/Pmvk/Dgat2/Pdha1/G6pdx/Cdo1,18
GO:0006090,pyruvate metabolic process,11/323,92/12416,2.5586091241928237e-5,0.002140046913619741,0.002018573406212044,Dlat/Pdk4/Igf1/Pdhb/Gpd1/Mpc1/Pcx/Mpc2/Pdha1/Me1/Eno1b,11
GO:0055086,nucleobase-containing small molecule metabolic process,25/323,389/12416,2.9660362884793975e-5,0.0024026534116140903,0.0022662738139817306,Dlat/Pdk4/Igf1/Acaca/Acly/Acot2/Aldh6a1/Pdhb/Gpd1/Mpc1/Fasn/Mpc2/Acss2/Pmvk/Cmpk1/Ak2/Dgat2/Rrm1/Pdha1/G6pdx/Nudt18/Eno1b/COX2/ATP8/ATP6,25
GO:0009260,ribonucleotide biosynthetic process,13/323,129/12416,3.0728172844043116e-5,0.0024026534116140903,0.0022662738139817306,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Cmpk1/Ak2/Pdha1/COX2/ATP8/ATP6,13
GO:0008203,cholesterol metabolic process,11/323,94/12416,3.138027782648594e-5,0.0024026534116140903,0.0022662738139817306,Ephx2/Acadl/Pmvk/Dgat2/G6pdx/Sc5d/Lss/Dhcr24/Insig1/Lepr/Fdps,11
GO:0009165,nucleotide biosynthetic process,15/323,168/12416,3.240856839700183e-5,0.0024026534116140903,0.0022662738139817306,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Cmpk1/Ak2/Rrm1/Pdha1/G6pdx/COX2/ATP8/ATP6,15
GO:1901293,nucleoside phosphate biosynthetic process,15/323,168/12416,3.240856839700183e-5,0.0024026534116140903,0.0022662738139817306,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Cmpk1/Ak2/Rrm1/Pdha1/G6pdx/COX2/ATP8/ATP6,15
GO:0009617,response to bacterium,26/323,417/12416,3.4420966683211234e-5,0.002495137629347446,0.002353508435439215,Wfdc18/Cd36/Mgst1/Lpl/H2bc4/Coch/Pygl/Prdx3/Baiap2/Cyp2e1/Car5b/Trf/Thrsp/Scd1/Mavs/Fau/Lyn/Ifi205/Plaat3/Lyg2/Fabp4/Hba-a2/Hba-a1/Amy1/Gbp11/Igha,26
GO:0015980,energy derivation by oxidation of organic compounds,17/323,211/12416,3.689044366660058e-5,0.00261601363566198,0.0024675232685920706,Dlat/Igf1/Mdh1/Pygl/Pdhb/Gpd1/Sorbs1/Cox20/Aco1/Pdha1/Ppp1r3b/Lepr/ND1/ND2/COX2/COX3/CYTB,17
GO:0016125,sterol metabolic process,11/323,99/12416,5.1044297477529685e-5,0.0035426914547170597,0.0033416009300519436,Ephx2/Acadl/Pmvk/Dgat2/G6pdx/Sc5d/Lss/Dhcr24/Insig1/Lepr/Fdps,11
GO:0048871,multicellular organismal homeostasis,24/323,384/12416,6.66869812930798e-5,0.004222897217787956,0.003983196801314723,Cd36/Pdk4/Acaca/Lpin1/Trp63/Vegfa/Rbp4/Acadl/Gatm/Fabp5/Cpt2/Nmu/Spp1/Adrb3/Trf/Cnot3/Scd1/Elovl3/Elovl6/Mbp/Lepr/Fabp4/Arrdc3/Flg,24
GO:0006695,cholesterol biosynthetic process,7/323,40/12416,6.73024955823718e-5,0.004222897217787956,0.003983196801314723,Pmvk/G6pdx/Sc5d/Lss/Dhcr24/Insig1/Fdps,7
GO:1902653,secondary alcohol biosynthetic process,7/323,40/12416,6.73024955823718e-5,0.004222897217787956,0.003983196801314723,Pmvk/G6pdx/Sc5d/Lss/Dhcr24/Insig1/Fdps,7
GO:0006639,acylglycerol metabolic process,11/323,102/12416,6.731779746320469e-5,0.004222897217787956,0.003983196801314723,Cd36/Lpl/Lpin1/Cyp2e1/Pnpla2/Dbi/Dgat2/Thrsp/Scd1/Insig1/Plaat3,11
GO:1902652,secondary alcohol metabolic process,11/323,102/12416,6.731779746320469e-5,0.004222897217787956,0.003983196801314723,Ephx2/Acadl/Pmvk/Dgat2/G6pdx/Sc5d/Lss/Dhcr24/Insig1/Lepr/Fdps,11
GO:0009152,purine ribonucleotide biosynthetic process,12/323,121/12416,7.246230526055961e-5,0.004381881243947782,0.0041331565639612005,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Ak2/Pdha1/COX2/ATP8/ATP6,12
GO:0006638,neutral lipid metabolic process,11/323,103/12416,7.364796320558538e-5,0.004381881243947782,0.0041331565639612005,Cd36/Lpl/Lpin1/Cyp2e1/Pnpla2/Dbi/Dgat2/Thrsp/Scd1/Insig1/Plaat3,11
GO:0006006,glucose metabolic process,14/323,160/12416,7.38821178470656e-5,0.004381881243947782,0.0041331565639612005,Dlat/Pdk4/Igf1/Pdhb/Gpd1/Pcx/Rbp4/Sorbs1/Fabp5/Dgat2/Pdha1/G6pdx/Ppp1r3b/Lepr,14
GO:0046394,carboxylic acid biosynthetic process,17/323,227/12416,9.208183256423034e-5,0.0053637667468664175,0.005059308206489572,Abhd3/Lpl/Pdk4/Acaca/Acly/Cd74/Fads3/Fasn/Scd2/Acadl/Gatm/Fabp5/Acss2/Scd1/Elovl3/Elovl6/Insig1,17
GO:0006694,steroid biosynthetic process,11/323,106/12416,9.578744609928785e-5,0.005466249856828814,0.00515597416228682,Hsd11b1/Igf1/Hsd17b12/Pmvk/G6pdx/Sc5d/Lss/Dhcr24/Igfbp7/Insig1/Fdps,11
GO:0016053,organic acid biosynthetic process,17/323,228/12416,9.719267066096604e-5,0.005466249856828814,0.00515597416228682,Abhd3/Lpl/Pdk4/Acaca/Acly/Cd74/Fads3/Fasn/Scd2/Acadl/Gatm/Fabp5/Acss2/Scd1/Elovl3/Elovl6/Insig1,17
GO:0016126,sterol biosynthetic process,7/323,43/12416,1.0880373972515203e-4,0.00601555591497366,0.005674100467736296,Pmvk/G6pdx/Sc5d/Lss/Dhcr24/Insig1/Fdps,7
GO:0046890,regulation of lipid biosynthetic process,13/323,147/12416,1.1950573781361065e-4,0.0064971286124666325,0.006128338098757613,Pdk4/Igf1/Cd74/Pcx/Sorbs1/Acadl/Dbi/Fabp5/Dgat2/Thrsp/Igfbp7/Insig1/Fdps,13
GO:0045109,intermediate filament organization,5/323,20/12416,1.2982285915213928e-4,0.006936415852203146,0.006542690482425956,Krt25/Krt71/Tchh/Krt2/Flg,5
GO:0042303,molting cycle,11/323,110/12416,1.3396511302538264e-4,0.006936415852203146,0.006542690482425956,Krt27/Per1/Msx2/Trp63/Dbi/Gprc5d/Krt25/Trps1/Krtap4-16/Krt71/Krt83,11
GO:0042633,hair cycle,11/323,110/12416,1.3396511302538264e-4,0.006936415852203146,0.006542690482425956,Krt27/Per1/Msx2/Trp63/Dbi/Gprc5d/Krt25/Trps1/Krtap4-16/Krt71/Krt83,11
GO:0006164,purine nucleotide biosynthetic process,12/323,133/12416,1.7988757877105145e-4,0.00916864503048703,0.008648213696509597,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Ak2/Pdha1/COX2/ATP8/ATP6,12
GO:0045444,fat cell differentiation,16/323,221/12416,2.1783066629601645e-4,0.010931748207040088,0.010311239475032487,Retn/Lpl/Igf1/Lpin1/Aldh6a1/Msx2/Vegfa/Hdac6/Adrb3/Scd1/Mrap/Adig/Insig1/Arxes2/Arxes1/Fabp4,16
GO:0019216,regulation of lipid metabolic process,19/323,292/12416,2.30621611832776e-4,0.011398298451492657,0.010751307358647596,Cd36/Pdk4/Igf1/Ephx2/Cd74/Pcx/Sorbs1/Pnpla2/Acadl/Dbi/Fabp5/Pde3b/Dgat2/Thrsp/Igfbp7/Scd1/Lyn/Insig1/Fdps,19
GO:0009060,aerobic respiration,8/323,64/12416,2.3955596814199945e-4,0.011663157732525405,0.011001132676811697,Dlat/Mdh1/Pdhb/Cox20/Aco1/Pdha1/ND1/COX3,8
GO:0005996,monosaccharide metabolic process,15/323,201/12416,2.460202598241741e-4,0.011801736581565529,0.011131845502570603,Dlat/Pdk4/Igf1/Pdhb/Gpd1/Pcx/Rbp4/Sorbs1/Fabp5/Pgd/Dgat2/Pdha1/G6pdx/Ppp1r3b/Lepr,15
GO:0005975,carbohydrate metabolic process,24/323,419/12416,2.5204138601178346e-4,0.011851621835561744,0.011178899165945005,Dlat/Hsd11b1/Pdk4/Igf1/Mdh1/Pygl/Pdhb/Gpd1/Pcx/Rbp4/Sorbs1/Fabp5/Pgd/Dgat2/Pdha1/G6pdx/Lctl/B3galt2/Npl/Ppp1r3b/Fut2/Lepr/Eno1b/Amy1,24
GO:0072522,purine-containing compound biosynthetic process,12/323,138/12416,2.543266488317971e-4,0.011851621835561744,0.011178899165945005,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Ak2/Pdha1/COX2/ATP8/ATP6,12
GO:0006098,pentose-phosphate shunt,4/323,13/12416,2.669122087629556e-4,0.012262924295560017,0.011566855244093689,Hsd11b1/Tkt/Pgd/G6pdx,4
GO:0045333,cellular respiration,12/323,139/12416,2.719965464906876e-4,0.012322954647953096,0.011623478149009941,Dlat/Mdh1/Pdhb/Gpd1/Cox20/Aco1/Pdha1/ND1/ND2/COX2/COX3/CYTB,12
GO:0006740,"NADPH regeneration",4/323,14/12416,3.66051045105131e-4,0.01613592579909375,0.015220017138581761,Hsd11b1/Tkt/Pgd/G6pdx,4
GO:0048521,negative regulation of behavior,4/323,14/12416,3.66051045105131e-4,0.01613592579909375,0.015220017138581761,Retn/Nmu/Lepr/Arrdc3,4
GO:0042755,eating behavior,5/323,25/12416,3.99802688018934e-4,0.017269224787052825,0.01628898772227417,Cd36/Aoc3/Nmu/Adrb3/Lepr,5
GO:0019318,hexose metabolic process,14/323,188/12416,4.0234858486082613e-4,0.017269224787052825,0.01628898772227417,Dlat/Pdk4/Igf1/Pdhb/Gpd1/Pcx/Rbp4/Sorbs1/Fabp5/Dgat2/Pdha1/G6pdx/Ppp1r3b/Lepr,14
GO:0002478,antigen processing and presentation of exogenous peptide antigen,5/323,26/12416,4.845479237128826e-4,0.02044948937452435,0.019288733886777463,Cd74/H2-Aa/Mfsd6/H2-Ab1/H2-DMb1,5
GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,4/323,15/12416,4.889822719843346e-4,0.02044948937452435,0.019288733886777463,Cd74/H2-Aa/H2-Ab1/H2-DMb1,4
GO:0045834,positive regulation of lipid metabolic process,11/323,129/12416,5.399323243316305e-4,0.02229442078442758,0.021028943158179294,Cd36/Igf1/Cd74/Pcx/Sorbs1/Pnpla2/Dbi/Dgat2/Scd1/Lyn/Fdps,11
GO:0042744,hydrogen peroxide catabolic process,4/323,16/12416,6.386934931715935e-4,0.026042727184071725,0.024564487901849577,Prdx3/Hbb-b1/Hba-a1/Hbb-bt,4
GO:0006099,tricarboxylic acid cycle,5/323,28/12416,6.93744379347821e-4,0.02793819957324188,0.026352369341568302,Dlat/Mdh1/Pdhb/Aco1/Pdha1,5
GO:0016054,organic acid catabolic process,13/323,178/12416,7.722640314028861e-4,0.030350906872725476,0.028628126363863488,Abhd3/Lpin1/Acot2/Aldh6a1/Acadl/Dbi/Cpt2/Pgd/Ces1f/Bckdhb/Cdo1/Npl/Hadhb,13
GO:0046395,carboxylic acid catabolic process,13/323,178/12416,7.722640314028861e-4,0.030350906872725476,0.028628126363863488,Abhd3/Lpin1/Acot2/Aldh6a1/Acadl/Dbi/Cpt2/Pgd/Ces1f/Bckdhb/Cdo1/Npl/Hadhb,13
GO:0044272,sulfur compound biosynthetic process,8/323,77/12416,8.504830938460131e-4,0.03302709347768684,0.03115240705904632,Dlat/Pdk4/Acly/Pdhb/Mpc1/Mpc2/Acss2/Pdha1,8
GO:0043588,skin development,15/323,229/12416,9.684769030961371e-4,0.03716672538705411,0.0350570648637772,Krt27/Msx2/Trp63/Dbi/Gprc5d/Dhcr24/Krt25/Scd1/Trps1/Sprr1a/Krt71/Krtap6-5/Krt2/Arrdc3/Flg,15
GO:0051156,glucose 6-phosphate metabolic process,4/323,18/12416,0.0010305930874978159,0.038641317832389374,0.03644795637938435,Hsd11b1/Tkt/Pgd/G6pdx,4
GO:0061081,positive regulation of myeloid leukocyte cytokine production involved in immune response,4/323,18/12416,0.0010305930874978159,0.038641317832389374,0.03644795637938435,Cd36/Cd74/Dhx36/Mavs,4
GO:0050795,regulation of behavior,6/323,46/12416,0.0011529036261574608,0.042736041233245876,0.040310254775816484,Retn/Per3/Nmu/Alb/Lepr/Arrdc3,6
GO:0016042,lipid catabolic process,15/323,234/12416,0.0012041726477134422,0.044134957043160096,0.04162976521899931,Abhd3/Lpl/Hsd11b1/Lpin1/Acot2/Pnpla2/Acadl/Dbi/Cpt2/Spp1/Plin1/Pde3b/Ces1f/Hadhb/Plaat3,15
GO:0042742,defense response to bacterium,11/323,143/12416,0.0012711941211489975,0.04579276469115367,0.04319347226184845,Wfdc18/Cd36/H2bc4/Coch/Trf/Scd1/Mavs/Fau/Lyg2/Gbp11/Igha,11
GO:0007584,response to nutrient,6/323,47/12416,0.0012931929090974842,0.04579276469115367,0.04319347226184845,Lpl/Gatm/Spp1/Aacs/Bckdhb/Slc16a1,6
GO:0019884,antigen processing and presentation of exogenous antigen,5/323,32/12416,0.0013055570558789978,0.04579276469115367,0.04319347226184845,Cd74/H2-Aa/Mfsd6/H2-Ab1/H2-DMb1,5
GO:0048821,erythrocyte development,5/323,32/12416,0.0013055570558789978,0.04579276469115367,0.04319347226184845,Alas2/G6pdx/Hbb-b1/Hba-a2/Hba-a1,5
GO:0072329,monocarboxylic acid catabolic process,9/323,102/12416,0.001339827340435212,0.04649485940957086,0.04385571462589165,Abhd3/Lpin1/Acot2/Acadl/Dbi/Cpt2/Pgd/Ces1f/Hadhb,9
GO:0019218,regulation of steroid metabolic process,8/323,83/12416,0.001393796397669729,0.04785856683367007,0.045142015184361416,Igf1/Ephx2/Acadl/Dgat2/Igfbp7/Scd1/Insig1/Fdps,8
